sales_order,order_type,organization,customer_id,net_amount,creation_date,currency,created_by,delivery_status
140,OR,1710,USCU-CUS22,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
141,OR,1710,USCU-CUS07,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
142,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
143,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
144,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
145,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
146,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
147,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
148,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
149,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
150,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
151,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
152,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
153,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
154,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
155,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
156,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
157,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
158,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
159,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
160,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
161,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
162,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
163,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
164,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
165,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
166,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
167,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
168,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
169,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
170,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
171,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
172,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
173,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
174,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
175,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
176,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
177,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
178,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
179,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
180,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
181,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
182,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
183,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
184,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
185,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
186,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
187,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
188,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
189,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
190,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
191,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
192,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
193,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
194,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
195,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
196,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
197,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
198,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
199,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
200,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
201,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
202,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
203,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
204,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
205,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
206,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
207,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
208,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
209,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
210,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
211,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
212,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
213,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
214,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
215,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
216,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
217,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
218,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
219,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
220,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
221,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
222,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
223,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
224,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
225,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
226,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
227,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
228,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
229,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
230,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
231,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
232,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
233,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
234,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
235,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
236,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
237,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
238,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
239,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
240,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
241,OR,1710,USCU-CUS08,600,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
242,OR,1710,USCU-CUS09,700,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
243,OR,1710,USCU-CUS07,750,2016-09-16T00:00:00.000Z,USD,S4TESTER,C
347,CBMO,1710,17100001,318.15,2016-09-20T00:00:00.000Z,USD,CB9980000072,C
348,OR,1710,USCU-CUS07,22750,2016-09-20T00:00:00.000Z,USD,CB9980000065,C
349,OR,1710,USCU-CUS07,34000,2016-09-21T00:00:00.000Z,USD,CB9980000027,C
354,OR,1710,17100001,17.55,2016-09-22T00:00:00.000Z,USD,CB9980000065,C
355,OR,1710,17100001,0,2016-09-22T00:00:00.000Z,USD,CB9980000065,C
357,OR,1710,17100001,0,2016-09-22T00:00:00.000Z,USD,CB9980000065,C
358,OR,1710,17100001,17.55,2016-09-22T00:00:00.000Z,USD,CB9980000065,C
361,CBMO,1710,17100001,318.15,2016-09-23T00:00:00.000Z,USD,CB9980000072,B
363,OR,1710,USCU-CUS07,34000,2016-09-27T00:00:00.000Z,USD,CB9980000065,C
364,OR,1710,USCU-CUS07,34000,2016-09-27T00:00:00.000Z,USD,CB9980000065,C
365,OR,1710,USCU-CUS07,34000,2016-09-27T00:00:00.000Z,USD,CB9980000065,C
368,OR,1710,USCU-CUS07,34000,2016-09-28T00:00:00.000Z,USD,CB9980000065,C
371,OR,1710,USCU_L01,1760,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
372,OR,1710,USCU_L03,1002,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
373,OR,1710,USCU_L07,2667,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
374,OR,1710,USCU_L09,7935,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
375,OR,1710,USCU_L07,3892,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
376,OR,1710,USCU_L02,1130,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
377,OR,1710,USCU_L03,15908,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
378,OR,1710,USCU_L06,7741,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
379,OR,1710,USCU_L09,2025,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
380,OR,1710,USCU_S16,1540,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
381,OR,1710,USCU_L10,960,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
382,OR,1710,USCU_S07,960,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
383,OR,1710,USCU_L03,3892,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
384,OR,1710,USCU_L09,7741,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
385,OR,1710,USCU_L10,13510,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
386,OR,1710,USCU_L02,4060,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
387,OR,1710,USCU_S03,2450,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
388,OR,1710,USCU_S09,3850,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
389,OR,1710,USCU_L05,23240,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
390,OR,1710,USCU_S16,1800,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
391,OR,1710,USCU_L07,9720,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
392,OR,1710,USCU_S03,12000,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
393,OR,1710,USCU_S10,3480,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
394,OR,1710,USCU_L01,8400,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
395,OR,1710,USCU_S07,107916,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
396,OR,1710,USCU_L01,19044,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
397,OR,1710,USCU_S16,41262,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
398,OR,1710,USCU_L04,17457,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
399,OR,1710,USCU_L09,2720,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
400,OR,1710,USCU_S02,120612,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
401,OR,1710,USCU_L03,2880,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
402,OR,1710,USCU_S15,1440,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
403,OR,1710,USCU_L05,21120,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
404,OR,1710,USCU_S04,1440,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
405,OR,1710,USCU_L10,9018,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
406,OR,1710,USCU_S16,60120,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
407,OR,1710,USCU_L09,14960,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
408,OR,1710,USCU_S03,8016,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
409,OR,1710,USCU_S12,15030,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
410,OR,1710,USCU_L08,5010,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
411,OR,1710,USCU_S15,3520,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
412,OR,1710,USCU_S09,2640,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
413,OR,1710,USCU_S02,6600,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
414,OR,1710,USCU_L07,7920,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
415,OR,1710,USCU_S07,14175,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
416,OR,1710,USCU_S05,16875,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
417,OR,1710,USCU_L03,4725,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
418,OR,1710,USCU_L05,4050,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
419,OR,1710,USCU_S14,28350,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
420,OR,1710,USCU_L10,6223,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
421,OR,1710,USCU_S17,3556,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
422,OR,1710,USCU_S12,8890,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
423,OR,1710,USCU_S06,13335,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
424,OR,1710,USCU_L02,9779,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
425,OR,1710,USCU_S17,15908,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
426,OR,1710,USCU_L06,51701,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
427,OR,1710,USCU_L09,8475,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
428,OR,1710,USCU_S05,111356,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
429,OR,1710,USCU_S17,1130,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
430,OR,1710,USCU_S13,107379,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
431,OR,1710,USCU_S11,4520,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
432,OR,1710,USCU_S05,3955,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
433,OR,1710,USCU_L07,32770,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
434,OR,1710,USCU_S13,11676,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
435,OR,1710,USCU_S14,7784,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
436,OR,1710,USCU_S04,97300,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
437,OR,1710,USCU_S12,294158,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
438,OR,1710,USCU_S15,185784,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
439,OR,1710,USCU_S02,263194,2016-10-04T00:00:00.000Z,USD,S4TESTER,C
440,OR,1710,USCU_L02,160,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
441,OR,1710,USCU_L04,3892,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
442,OR,1710,USCU_L03,3977,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
443,OR,1710,USCU_L02,889,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
444,OR,1710,USCU_L09,8890,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
445,OR,1710,USCU_L02,4270,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
446,OR,1710,USCU_S13,5250,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
447,OR,1710,USCU_S04,1750,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
448,OR,1710,USCU_L08,3640,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
449,OR,1710,USCU_L09,8160,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
450,OR,1710,USCU_S16,7280,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
451,OR,1710,USCU_S14,1800,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
452,OR,1710,USCU_S13,720,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
453,OR,1710,USCU_L04,14400,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
454,OR,1710,USCU_S04,15120,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
455,OR,1710,USCU_L02,27840,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
456,OR,1710,USCU_L10,22218,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
457,OR,1710,USCU_L03,12696,2016-10-05T00:00:00.000Z,USD,S4TESTER,C
